first_name,last_name,email,phone,event_name,activity_type,activity_date,payment_status,proceeds_amount
Student0,User0,student0.user00@demo.edu,704-555-1000,Welcome Week,Ticket,2024-05-05,Paid,$112.52
Student1,User1,student1.user11@demo.edu,704-555-1001,Hackathon,Ticket,2024-10-06,Paid,$103.12
Student2,User2,student2.user22@demo.edu,704-555-1002,Club Fundraiser,Ticket,2024-02-17,Refunded,$9.61
Student3,User3,student3.user33@demo.edu,704-555-1003,Hackathon,Registration,2024-11-28,Paid,$86.38
Student4,User4,student4.user44@demo.edu,704-555-1004,Club Fundraiser,Donation,2024-10-28,Refunded,$36.96
Student5,User5,student5.user55@demo.edu,704-555-1005,Welcome Week,Donation,2024-06-23,Pending,$106.23
Student6,User6,student6.user66@demo.edu,704-555-1006,Hackathon,Ticket,2024-06-21,Pending,$143.8
Student7,User7,student7.user77@demo.edu,704-555-1007,Welcome Week,Registration,2024-06-25,Refunded,$19.02
Student8,User8,student8.user88@demo.edu,704-555-1008,Career Fair,Ticket,2024-10-01,Paid,$110.81
Student9,User9,student9.user99@demo.edu,704-555-1009,Research Seminar,Registration,2024-11-17,Paid,$85.05
Student10,User10,student10.user1010@demo.edu,704-555-1010,Career Fair,Registration,2024-01-24,Pending,$107.16
Student11,User11,student11.user1111@demo.edu,704-555-1011,Hackathon,Ticket,2024-04-29,Failed,$147.86
Student12,User12,student12.user1212@demo.edu,704-555-1012,Research Seminar,Ticket,2024-07-05,Failed,$70.74
Student13,User13,student13.user1313@demo.edu,704-555-1013,Career Fair,Registration,2024-05-16,Failed,$35.38
Student14,User14,student14.user1414@demo.edu,704-555-1014,Welcome Week,Ticket,2024-05-05,Pending,$82.45
Student15,User15,student15.user1515@demo.edu,704-555-1015,Research Seminar,Registration,2024-11-23,Refunded,$44.14
Student16,User16,student16.user1616@demo.edu,704-555-1016,Club Fundraiser,Ticket,2024-01-29,Pending,$104.27
Student17,User17,student17.user1717@demo.edu,704-555-1017,Welcome Week,Ticket,2024-02-03,Failed,$63.17
